City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
115,carnarvon,0,ZA,1569398242,7,-30.97,22.13,65.75,26.13
116,prince rupert,90,CA,1569398243,87,54.32,-130.32,55.4,3.36
117,kruisfontein,0,ZA,1569398243,31,-34.0,24.73,65.57,15.55
118,provideniya,0,RU,1569398243,86,64.42,-173.23,28.49,4.56
119,hovd,0,NO,1569398243,81,63.83,10.7,51.01,11.41
120,zaysan,2,KZ,1569397950,22,47.47,84.87,66.47,6.8
121,dongsheng,100,CN,1569398243,42,29.72,112.52,83.57,6.26
122,granada,97,NI,1569398243,95,11.93,-85.96,73.85,1.99
123,naze,100,NG,1569398243,86,5.43,7.07,77.27,3.6
124,vila franca do campo,20,PT,1569398244,82,37.72,-25.43,71.01,2.24
125,guerrero negro,20,MX,1569398244,84,27.97,-114.04,67.73,8.28
126,iralaya,99,HN,1569398244,96,15.0,-83.23,75.65,1.99
127,okha,100,RU,1569398244,81,53.59,142.95,48.65,36.35
128,bambous virieux,40,MU,1569398244,69,-20.34,57.76,78.8,16.11
129,nome,1,US,1569398244,88,30.04,-94.42,77.0,4.0
130,san cristobal,100,HN,1569398244,94,14.68,-86.92,66.65,2.06
131,fortuna,90,US,1569398245,93,40.6,-124.16,62.01,6.93
132,port said,0,EG,1569398245,16,25.34,30.55,91.13,14.5
133,shache,0,CN,1569398245,9,38.42,77.24,87.53,1.03
134,alofi,35,NU,1569398245,78,-19.06,-169.92,73.4,6.93
135,mareeba,0,AU,1569398245,57,-16.99,145.42,78.01,16.11
136,saint-louis,40,SN,1569398245,88,16.03,-16.5,80.6,4.7
137,viedma,0,AR,1569398245,54,-40.81,-62.99,52.25,6.2
138,matay,0,EG,1569398245,22,28.42,30.79,86.09,9.06
139,halifax,90,CA,1569398246,100,44.65,-63.58,62.01,8.05
140,shimoda,20,JP,1569398246,69,34.7,138.93,77.0,8.05
141,nanakuli,90,US,1569398246,83,21.39,-158.15,82.4,4.18
142,kahului,20,US,1569397959,69,20.89,-156.47,78.8,4.7
143,konitsa,0,GR,1569398246,77,40.04,20.75,68.0,1.01
144,hirado,77,JP,1569397982,69,33.32,129.49,82.4,5.82
145,batagay,100,RU,1569398246,76,67.65,134.64,35.33,2.53
146,glyadyanskoye,47,RU,1569398246,54,54.91,65.09,44.51,15.05
147,sibolga,69,ID,1569398247,76,1.74,98.78,82.67,9.62
148,huarmey,100,PE,1569398247,95,-10.07,-78.15,60.89,9.71
149,marzuq,92,YE,1569398247,16,14.4,46.47,88.07,8.32
150,ponta do sol,25,BR,1569398247,80,-20.63,-46.0,61.07,2.04
151,hobyo,97,SO,1569398247,39,5.35,48.53,92.39,22.3
152,tabas,0,IR,1569398247,13,33.6,56.92,96.8,4.7
153,saint george,20,GR,1569398247,60,39.45,22.34,73.4,8.05
154,broome,75,GB,1569398247,93,52.47,1.45,63.0,10.29
155,santa maria del oro,100,MX,1569398248,91,25.95,-105.37,58.37,0.83
156,antofagasta,90,CL,1569398248,82,-23.65,-70.4,55.4,3.36
157,pisco,90,PE,1569398248,88,-13.71,-76.2,63.0,3.36
158,komsomolskiy,100,RU,1569398248,95,67.55,63.78,34.43,9.19
159,haines junction,96,CA,1569398248,94,60.75,-137.51,32.09,3.38
160,ngunguru,6,NZ,1569398248,84,-35.62,174.5,53.01,8.01
161,mantua,20,IT,1569398248,87,45.16,10.79,69.01,2.24
162,thinadhoo,100,MV,1569398249,65,0.53,72.93,82.49,4.59
163,tiksi,3,RU,1569398249,89,71.64,128.87,34.79,10.22
164,bathsheba,20,BB,1569398249,78,13.22,-59.52,82.4,10.29
165,gizo,20,IL,1569398249,57,31.8,34.94,84.99,5.82
166,hilo,1,US,1569398249,83,19.71,-155.08,77.0,1.5
167,byron bay,75,AU,1569398208,64,-28.65,153.62,69.8,11.41
168,omsukchan,91,RU,1569398249,77,62.53,155.8,25.79,6.33
169,kieta,36,PG,1569398249,73,-6.22,155.63,81.77,5.39
170,piotrkow trybunalski,100,PL,1569398250,93,51.41,19.7,55.0,5.82
171,longyearbyen,90,NO,1569398250,93,78.22,15.63,37.4,2.24
172,bandarbeyla,0,SO,1569398250,21,9.49,50.81,102.11,17.45
173,laiyang,100,CN,1569398250,51,36.98,120.7,75.65,10.8
174,fort-shevchenko,91,KZ,1569398250,68,44.51,50.26,64.67,10.54
175,san patricio,0,PY,1569398250,77,-26.98,-56.83,58.55,5.77
176,touros,40,BR,1569398250,88,-5.2,-35.46,71.6,3.36
177,wenling,4,CN,1569398251,20,28.38,121.38,84.0,3.56
178,novobirilyussy,100,RU,1569398251,48,56.95,90.69,50.63,9.19
179,matara,75,BI,1569398251,57,-3.48,29.48,64.67,6.46
180,harper,75,US,1569398251,88,30.3,-99.24,75.2,14.25
181,mahebourg,40,MU,1569398251,69,-20.41,57.7,78.8,16.11
182,esperance,67,AU,1569398251,37,-33.86,121.89,71.6,11.41
183,arraial do cabo,100,BR,1569398252,85,-22.97,-42.02,65.93,14.85
184,nouadhibou,19,MR,1569398252,88,20.93,-17.03,68.0,13.87
185,clyde river,90,CA,1569398252,86,70.47,-68.59,30.2,5.82
186,hirara,40,JP,1569398252,69,24.8,125.28,80.6,11.41
187,qaanaaq,100,GL,1569398252,86,77.48,-69.36,19.67,7.07
188,east london,20,ZA,1569398252,45,-33.02,27.91,62.6,9.17
189,pokhara,100,NP,1569398252,90,28.21,83.99,59.45,3.69
