City_ID,   Lat    ,   Lng    ,  Date    , Humidity , Max Temp ,City,Cloudiness,Country   ,Wind Speed
174,-34.0,24.73,03-24-2018,83,69.43,kruisfontein,76,ZA,14.0
175,41.42,-6.55,03-24-2018,70,43.24,saldanha,24,PT,19.82
176,50.56,-96.99,03-24-2018,90,27.98,husavik,92,CA,12.88
177,-20.34,57.76,03-24-2018,75,83.33,bambous virieux,80,MU,8.75
178,6.12,81.12,03-24-2018,93,85.94,hambantota,0,LK,10.65
179,21.35,-158.09,03-24-2018,83,71.5,makakilo city,92,US,7.96
180,-33.02,27.91,03-24-2018,99,73.21,east london,0,ZA,13.22
181,40.67,33.6,03-24-2018,89,43.96,ayan,88,TR,3.83
182,50.7,17.38,03-24-2018,100,37.03,grodkow,80,PL,4.72
183,50.7,-127.42,03-24-2018,93,33.61,port hardy,44,CA,3.49
184,39.36,-9.38,03-24-2018,100,55.48,peniche,44,PT,32.35
185,-43.53,172.64,03-24-2018,100,57.59,christchurch,68,NZ,5.95
186,44.45,1.44,03-24-2018,100,43.87,cahors,92,FR,4.94
187,20.52,-13.05,03-24-2018,23,68.35,atar,0,MR,10.65
188,60.75,-137.51,03-24-2018,57,-4.11,haines junction,8,CA,1.92
189,20.35,-74.5,03-24-2018,100,72.76,baracoa,64,CU,14.79
190,29.7,-9.73,03-24-2018,92,58.13,tiznit,8,MA,5.61
191,-32.03,-52.1,03-24-2018,94,72.67,rio grande,36,BR,15.79
192,58.52,-117.13,03-24-2018,72,9.89,high level,68,CA,4.61
193,-32.25,24.53,03-24-2018,26,82.84,graaff-reinet,36,ZA,11.21
194,-37.81,145.34,03-24-2018,91,65.83,montrose,100,AU,5.39
195,48.61,42.84,03-24-2018,98,34.73,surovikino,92,RU,8.52
196,1.56,110.34,03-24-2018,100,76.99,kuching,92,MY,9.08
197,67.47,78.7,03-24-2018,74,-17.07,tazovskiy,12,RU,7.07
198,3.87,-67.92,03-24-2018,98,72.49,inirida,88,CO,2.04
199,59.1,26.19,03-24-2018,79,28.79,vao,24,EE,9.64
200,18.9,-3.53,03-24-2018,16,66.86,araouane,0,ML,10.98
201,54.44,113.59,03-24-2018,47,42.43,bagdarin,0,RU,13.44
202,-9.17,-60.63,03-24-2018,96,73.12,aripuana,92,BR,3.04
203,61.58,-149.44,03-24-2018,61,2.74,wasilla,0,US,2.04
204,69.38,178.42,03-24-2018,83,22.27,leningradskiy,8,RU,24.63
205,25.6,100.24,03-24-2018,43,67.94,dali,36,CN,4.27
206,51.13,93.72,03-24-2018,68,48.23,khovu-aksy,0,RU,3.38
207,32.12,20.07,03-24-2018,100,61.69,benghazi,0,LY,25.64
208,64.86,-147.8,03-24-2018,66,7.96,college,0,US,6.96
209,29.85,80.53,03-24-2018,70,48.91,dharchula,0,IN,0.47
210,-51.62,-69.22,03-24-2018,100,38.11,rio gallegos,0,AR,13.78
211,-26.65,15.16,03-24-2018,96,61.28,luderitz,20,NA,5.28
212,-41.25,173.1,03-24-2018,91,52.28,mapua,68,NZ,1.48
213,37.46,-122.43,03-24-2018,100,50.39,half moon bay,92,US,11.77
214,37.17,-99.65,03-24-2018,61,56.78,sitka,0,US,14.67
215,35.03,25.95,03-24-2018,100,59.03,koutsouras,56,GR,28.54
216,11.98,18.21,03-24-2018,36,95.62,bitkine,0,TD,4.5
217,-22.4,46.13,03-24-2018,48,84.55,ihosy,0,MG,5.39
218,14.76,-90.99,03-24-2018,100,43.69,tecpan,32,GT,1.81
219,-8.76,-67.39,03-24-2018,97,72.58,boca do acre,88,BR,2.15
220,9.66,-68.59,03-24-2018,82,72.67,san carlos,64,VE,4.83
221,22.34,90.74,03-24-2018,64,89.18,lalmohan,0,BD,5.17
222,65.95,111.51,03-24-2018,80,16.6,aykhal,68,RU,4.27
223,-37.83,140.78,03-24-2018,52,72.76,mount gambier,12,AU,3.83
224,-46.28,169.85,03-24-2018,86,50.26,kaitangata,8,NZ,4.83
225,68.05,39.51,03-24-2018,93,18.89,ostrovnoy,48,RU,17.02
226,18.24,104.21,03-24-2018,44,88.01,ban nahin,0,LA,3.04
227,-0.86,131.25,03-24-2018,100,80.63,sorong,48,ID,2.71
228,57.55,40.74,03-24-2018,95,20.2,kosmynino,8,RU,9.75
229,-30.33,149.78,03-24-2018,70,74.06,narrabri,64,AU,2.71
230,53.85,40.53,03-24-2018,100,31.0,svobodnyy,8,RU,5.17
231,-2.03,-79.75,03-24-2018,98,71.36,olinda,56,EC,3.04
232,18.69,12.92,03-24-2018,15,70.6,bilma,44,NE,17.69
233,-17.8,25.16,03-24-2018,69,82.48,kasane,8,BW,6.51
234,38.18,-1.13,03-24-2018,46,46.66,fortuna,0,ES,24.07
235,-11.66,27.48,03-24-2018,82,75.28,lubumbashi,12,CD,10.42
236,16.89,42.56,03-24-2018,64,90.53,jizan,0,SA,10.76
237,-3.12,-40.83,03-24-2018,95,75.01,granja,24,BR,7.74
238,60.82,-115.79,03-24-2018,72,6.11,hay river,68,CA,9.19
239,-7.38,108.21,03-24-2018,76,77.17,kawalu,76,ID,2.71
240,22.68,-3.98,03-24-2018,16,67.94,taoudenni,0,ML,6.85
241,-24.56,-54.06,03-24-2018,89,74.74,marechal candido rondon,0,BR,10.98
242,51.55,-9.27,03-24-2018,99,43.01,skibbereen,0,IE,14.67
243,54.11,-9.15,03-24-2018,91,43.33,ballina,56,IE,7.07
244,-6.66,-69.87,03-24-2018,97,70.6,eirunepe,64,BR,1.92
245,64.73,177.51,03-24-2018,85,21.64,anadyr,68,RU,13.67
246,6.37,2.43,03-24-2018,94,82.43,cotonou,20,BJ,4.5
247,-21.98,16.91,03-24-2018,31,79.24,okahandja,0,NA,3.94
248,60.72,-135.06,03-24-2018,67,-0.24,whitehorse,0,CA,3.15
249,-19.98,57.61,03-24-2018,98,82.39,cap malheureux,24,MU,12.33
250,50.14,48.57,03-24-2018,100,31.9,aleksandrov gay,92,RU,11.77
251,40.97,-117.74,03-24-2018,31,30.55,winnemucca,0,US,6.51
252,6.33,-10.8,03-24-2018,90,78.79,monrovia,56,LR,4.16
253,-29.69,-53.81,03-24-2018,96,68.26,santa maria,76,BR,8.97
254,65.68,-18.09,03-24-2018,80,11.74,akureyri,24,IS,3.15
255,-7.35,-75.01,03-24-2018,95,74.96,contamana,80,PE,2.59
256,36.43,-99.39,03-24-2018,54,56.78,woodward,0,US,9.64
257,27.52,-110.01,03-24-2018,61,60.43,laguna,44,MX,1.59
258,43.37,-124.22,03-24-2018,99,38.65,coos bay,88,US,7.63
259,1.74,98.78,03-24-2018,93,76.63,sibolga,56,ID,0.58
260,70.62,147.9,03-24-2018,79,-12.57,chokurdakh,88,RU,15.46
261,20.89,-156.47,03-24-2018,89,71.54,kahului,88,US,6.62
262,5.28,115.24,03-24-2018,94,84.86,victoria,24,BN,13.89
263,46.16,15.87,03-24-2018,78,41.08,krapina,0,HR,4.83
264,62.23,-6.59,03-24-2018,100,41.48,klaksvik,80,FO,14.79
265,47.86,128.84,03-24-2018,42,41.62,youhao,12,CN,4.83
